11_22
pt_[3, 21]_[0.022188888888892224, 0.1]_[-500.0, 0.0]
pt_[4, 0]_[0.033300000000003334, -0.005]_[-500.0, 0.0]
pt_[4, 1]_[0.033300000000003334, 0.0]_[-500.0, 0.0]
pt_[4, 2]_[0.033300000000003334, 0.005]_[-500.0, 0.0]
pt_[4, 3]_[0.033300000000003334, 0.01]_[-500.0, 0.0]
pt_[4, 4]_[0.033300000000003334, 0.015]_[-500.0, 0.0]
pt_[4, 5]_[0.033300000000003334, 0.02]_[-500.0, 0.0]
pt_[4, 6]_[0.033300000000003334, 0.025]_[-500.0, 0.0]
pt_[4, 7]_[0.033300000000003334, 0.03]_[-500.0, 0.0]
pt_[4, 8]_[0.033300000000003334, 0.035]_[-500.0, 0.0]
pt_[4, 9]_[0.033300000000003334, 0.04]_[-500.0, 0.0]
pt_[4, 10]_[0.033300000000003334, 0.045]_[-500.0, 0.0]
pt_[4, 11]_[0.033300000000003334, 0.05]_[-500.0, 0.0]
pt_[4, 12]_[0.033300000000003334, 0.055]_[-500.0, 0.0]
pt_[4, 13]_[0.033300000000003334, 0.06]_[-500.0, 0.0]
pt_[4, 14]_[0.033300000000003334, 0.065]_[-500.0, 0.0]
pt_[4, 15]_[0.033300000000003334, 0.07]_[-500.0, 0.0]
pt_[4, 16]_[0.033300000000003334, 0.075]_[-500.0, 0.0]
pt_[4, 17]_[0.033300000000003334, 0.08]_[-500.0, 0.0]
pt_[4, 18]_[0.033300000000003334, 0.085]_[-500.0, 0.0]
pt_[4, 19]_[0.033300000000003334, 0.09]_[-500.0, 0.0]
pt_[4, 20]_[0.033300000000003334, 0.095]_[-500.0, 0.0]
pt_[4, 21]_[0.033300000000003334, 0.1]_[-500.0, 0.0]
pt_[5, 0]_[0.04441111111111445, -0.005]_[-500.0, 0.0]
pt_[5, 1]_[0.04441111111111445, 0.0]_[-500.0, 0.0]
pt_[5, 2]_[0.04441111111111445, 0.005]_[-500.0, 0.0]
pt_[5, 3]_[0.04441111111111445, 0.01]_[-500.0, 0.0]
pt_[5, 4]_[0.04441111111111445, 0.015]_[-500.0, 0.0]
pt_[5, 5]_[0.04441111111111445, 0.02]_[-500.0, 0.0]
pt_[5, 6]_[0.04441111111111445, 0.025]_[-500.0, 0.0]
pt_[5, 7]_[0.04441111111111445, 0.03]_[-500.0, 0.0]
pt_[5, 8]_[0.04441111111111445, 0.035]_[-500.0, 0.0]
pt_[5, 9]_[0.04441111111111445, 0.04]_[-500.0, 0.0]
pt_[5, 10]_[0.04441111111111445, 0.045]_[-500.0, 0.0]
pt_[5, 11]_[0.04441111111111445, 0.05]_[-500.0, 0.0]
pt_[5, 12]_[0.04441111111111445, 0.055]_[-500.0, 0.0]
pt_[5, 13]_[0.04441111111111445, 0.06]_[-500.0, 0.0]
pt_[5, 14]_[0.04441111111111445, 0.065]_[-500.0, 0.0]
pt_[5, 15]_[0.04441111111111445, 0.07]_[-500.0, 0.0]
pt_[5, 16]_[0.04441111111111445, 0.075]_[-500.0, 0.0]
pt_[5, 17]_[0.04441111111111445, 0.08]_[-500.0, 0.0]
pt_[5, 18]_[0.04441111111111445, 0.085]_[-500.0, 0.0]
pt_[5, 19]_[0.04441111111111445, 0.09]_[-500.0, 0.0]
pt_[5, 20]_[0.04441111111111445, 0.095]_[-500.0, 0.0]
pt_[5, 21]_[0.04441111111111445, 0.1]_[-500.0, 0.0]
pt_[6, 0]_[0.05552222222222556, -0.005]_[-500.0, 0.0]
pt_[6, 1]_[0.05552222222222556, 0.0]_[-500.0, 0.0]
pt_[6, 2]_[0.05552222222222556, 0.005]_[-500.0, 0.0]
pt_[6, 3]_[0.05552222222222556, 0.01]_[-500.0, 0.0]
pt_[6, 4]_[0.05552222222222556, 0.015]_[-500.0, 0.0]
pt_[6, 5]_[0.05552222222222556, 0.02]_[-500.0, 0.0]
pt_[6, 6]_[0.05552222222222556, 0.025]_[-500.0, 0.0]
pt_[6, 7]_[0.05552222222222556, 0.03]_[-500.0, 0.0]
pt_[6, 8]_[0.05552222222222556, 0.035]_[-500.0, 0.0]
pt_[6, 9]_[0.05552222222222556, 0.04]_[-500.0, 0.0]
pt_[6, 10]_[0.05552222222222556, 0.045]_[-500.0, 0.0]
pt_[6, 11]_[0.05552222222222556, 0.05]_[-500.0, 0.0]
pt_[6, 12]_[0.05552222222222556, 0.055]_[-500.0, 0.0]
pt_[6, 13]_[0.05552222222222556, 0.06]_[-500.0, 0.0]
pt_[6, 14]_[0.05552222222222556, 0.065]_[-500.0, 0.0]
pt_[6, 15]_[0.05552222222222556, 0.07]_[-500.0, 0.0]
pt_[6, 16]_[0.05552222222222556, 0.075]_[-500.0, 0.0]
pt_[6, 17]_[0.05552222222222556, 0.08]_[-500.0, 0.0]
pt_[6, 18]_[0.05552222222222556, 0.085]_[-500.0, 0.0]
pt_[6, 19]_[0.05552222222222556, 0.09]_[-500.0, 0.0]
pt_[6, 20]_[0.05552222222222556, 0.095]_[-500.0, 0.0]
pt_[6, 21]_[0.05552222222222556, 0.1]_[-500.0, 0.0]
pt_[7, 0]_[0.06663333333333667, -0.005]_[-500.0, 0.0]
pt_[7, 1]_[0.06663333333333667, 0.0]_[-500.0, 0.0]
pt_[7, 2]_[0.06663333333333667, 0.005]_[-500.0, 0.0]
pt_[7, 3]_[0.06663333333333667, 0.01]_[-500.0, 0.0]
pt_[7, 4]_[0.06663333333333667, 0.015]_[-500.0, 0.0]
pt_[7, 5]_[0.06663333333333667, 0.02]_[-500.0, 0.0]
pt_[7, 6]_[0.06663333333333667, 0.025]_[-500.0, 0.0]
pt_[7, 7]_[0.06663333333333667, 0.03]_[-500.0, 0.0]
pt_[7, 8]_[0.06663333333333667, 0.035]_[-500.0, 0.0]
pt_[7, 9]_[0.06663333333333667, 0.04]_[-500.0, 0.0]
pt_[7, 10]_[0.06663333333333667, 0.045]_[-500.0, 0.0]
pt_[7, 11]_[0.06663333333333667, 0.05]_[-500.0, 0.0]
pt_[7, 12]_[0.06663333333333667, 0.055]_[-500.0, 0.0]
pt_[7, 13]_[0.06663333333333667, 0.06]_[-500.0, 0.0]
pt_[7, 14]_[0.06663333333333667, 0.065]_[-500.0, 0.0]
pt_[7, 15]_[0.06663333333333667, 0.07]_[-500.0, 0.0]
pt_[7, 16]_[0.06663333333333667, 0.075]_[-500.0, 0.0]
pt_[7, 17]_[0.06663333333333667, 0.08]_[-500.0, 0.0]
pt_[7, 18]_[0.06663333333333667, 0.085]_[-500.0, 0.0]
pt_[7, 19]_[0.06663333333333667, 0.09]_[-500.0, 0.0]
pt_[7, 20]_[0.06663333333333667, 0.095]_[-500.0, 0.0]
pt_[7, 21]_[0.06663333333333667, 0.1]_[-500.0, 0.0]
pt_[8, 0]_[0.07774444444444778, -0.005]_[-500.0, 0.0]
pt_[8, 1]_[0.07774444444444778, 0.0]_[-500.0, 0.0]
pt_[8, 2]_[0.07774444444444778, 0.005]_[-500.0, 0.0]
pt_[8, 3]_[0.07774444444444778, 0.01]_[-500.0, 0.0]
pt_[8, 4]_[0.07774444444444778, 0.015]_[-500.0, 0.0]
pt_[8, 5]_[0.07774444444444778, 0.02]_[-500.0, 0.0]
pt_[8, 6]_[0.07774444444444778, 0.025]_[-500.0, 0.0]
pt_[8, 7]_[0.07774444444444778, 0.03]_[-500.0, 0.0]
pt_[8, 8]_[0.07774444444444778, 0.035]_[-500.0, 0.0]
pt_[8, 9]_[0.07774444444444778, 0.04]_[-500.0, 0.0]
pt_[8, 10]_[0.07774444444444778, 0.045]_[-500.0, 0.0]
pt_[8, 11]_[0.07774444444444778, 0.05]_[-500.0, 0.0]
pt_[8, 12]_[0.07774444444444778, 0.055]_[-500.0, 0.0]
pt_[8, 13]_[0.07774444444444778, 0.06]_[-500.0, 0.0]
pt_[8, 14]_[0.07774444444444778, 0.065]_[-500.0, 0.0]
pt_[8, 15]_[0.07774444444444778, 0.07]_[-500.0, 0.0]
pt_[8, 16]_[0.07774444444444778, 0.075]_[-500.0, 0.0]
pt_[8, 17]_[0.07774444444444778, 0.08]_[-500.0, 0.0]
pt_[8, 18]_[0.07774444444444778, 0.085]_[-500.0, 0.0]
pt_[8, 19]_[0.07774444444444778, 0.09]_[-500.0, 0.0]
pt_[8, 20]_[0.07774444444444778, 0.095]_[-500.0, 0.0]
pt_[8, 21]_[0.07774444444444778, 0.1]_[-500.0, 0.0]
pt_[9, 0]_[0.0888555555555589, -0.005]_[-500.0, 0.0]
pt_[9, 1]_[0.0888555555555589, 0.0]_[-500.0, 0.0]
pt_[9, 2]_[0.0888555555555589, 0.005]_[-500.0, 0.0]
pt_[9, 3]_[0.0888555555555589, 0.01]_[-500.0, 0.0]
pt_[9, 4]_[0.0888555555555589, 0.015]_[-500.0, 0.0]
pt_[9, 5]_[0.0888555555555589, 0.02]_[-500.0, 0.0]
pt_[9, 6]_[0.0888555555555589, 0.025]_[-500.0, 0.0]
pt_[9, 7]_[0.0888555555555589, 0.03]_[-500.0, 0.0]
pt_[9, 8]_[0.0888555555555589, 0.035]_[-500.0, 0.0]
pt_[9, 9]_[0.0888555555555589, 0.04]_[-500.0, 0.0]
pt_[9, 10]_[0.0888555555555589, 0.045]_[-500.0, 0.0]
pt_[9, 11]_[0.0888555555555589, 0.05]_[-500.0, 0.0]
pt_[9, 12]_[0.0888555555555589, 0.055]_[-500.0, 0.0]
pt_[9, 13]_[0.0888555555555589, 0.06]_[-500.0, 0.0]
pt_[9, 14]_[0.0888555555555589, 0.065]_[-500.0, 0.0]
pt_[9, 15]_[0.0888555555555589, 0.07]_[-500.0, 0.0]
pt_[9, 16]_[0.0888555555555589, 0.075]_[-500.0, 0.0]
pt_[9, 17]_[0.0888555555555589, 0.08]_[-500.0, 0.0]
pt_[9, 18]_[0.0888555555555589, 0.085]_[-500.0, 0.0]
pt_[9, 19]_[0.0888555555555589, 0.09]_[-500.0, 0.0]
pt_[9, 20]_[0.0888555555555589, 0.095]_[-500.0, 0.0]
pt_[9, 21]_[0.0888555555555589, 0.1]_[-500.0, 0.0]
pt_[10, 0]_[0.09996666666667, -0.005]_[-500.0, 0.0]
pt_[10, 1]_[0.09996666666667, 0.0]_[-500.0, 0.0]
pt_[10, 2]_[0.09996666666667, 0.005]_[-500.0, 0.0]
pt_[10, 3]_[0.09996666666667, 0.01]_[-500.0, 0.0]
pt_[10, 4]_[0.09996666666667, 0.015]_[-500.0, 0.0]
pt_[10, 5]_[0.09996666666667, 0.02]_[-500.0, 0.0]
pt_[10, 6]_[0.09996666666667, 0.025]_[-500.0, 0.0]
pt_[10, 7]_[0.09996666666667, 0.03]_[-500.0, 0.0]
pt_[10, 8]_[0.09996666666667, 0.035]_[-500.0, 0.0]
pt_[10, 9]_[0.09996666666667, 0.04]_[-500.0, 0.0]
pt_[10, 10]_[0.09996666666667, 0.045]_[-500.0, 0.0]
pt_[10, 11]_[0.09996666666667, 0.05]_[-500.0, 0.0]
pt_[10, 12]_[0.09996666666667, 0.055]_[-500.0, 0.0]
pt_[10, 13]_[0.09996666666667, 0.06]_[-500.0, 0.0]
pt_[10, 14]_[0.09996666666667, 0.065]_[-500.0, 0.0]
pt_[10, 15]_[0.09996666666667, 0.07]_[-500.0, 0.0]
pt_[10, 16]_[0.09996666666667, 0.075]_[-500.0, 0.0]
pt_[10, 17]_[0.09996666666667, 0.08]_[-500.0, 0.0]
pt_[10, 18]_[0.09996666666667, 0.085]_[-500.0, 0.0]
pt_[10, 19]_[0.09996666666667, 0.09]_[-500.0, 0.0]
pt_[10, 20]_[0.09996666666667, 0.095]_[-500.0, 0.0]
pt_[10, 21]_[0.09996666666667, 0.1]_[-500.0, 0.0]
